query,expected_title
"Faded actor best known for playing a superhero attempts a comeback on Broadway","Birdman"
"Party clown and a failed stand-up comedian is disregarded and mistreated by society Joaquin Phoenix","Joker"
"Two British soldiers are given a seemingly impossible mission during World War I","1917"
"Weary Wolverine cares for an ailing Professor X in a hideout on the Mexican border","X-Men Origins: Wolverine"
"Rise and fall of a wealthy stock-broker living the high life Leonardo DiCaprio","The Wolf of Wall Street"
"Detective investigates the death of a patriarch of an eccentric combative family","Knives Out"
"The story of the founding of Facebook by student and the legal battles that followed","The Social Network"
"San Francisco cartoonist becomes an amateur detective obsessed with tracking the Zodiac Killer","Zodiac"
"young FBI trainee looking for help of serial cannibal killer","The Silence of the Lambs"
"The story of Henry Hill and his life in the mob Ray Liotta Robert De Niro","Goodfellas"
"A drama romance movie about a guy from Alabama with a low IQ who ran in many countries.","Forrest Gump"
"action, epic movies about ancient Greeks their mythology, God`s, battles, voyages, adventures and wars","Troy"
"movie where toys come to life","Toy Story 2"
"love story based on historical events where giant ship that hits an iceberg","Titanic"
"a psychologist treats a boy who sees ghosts","The Sixth Sense"
"Farm boy joins a galactic rebellion and learns about the Force","Star Wars"
"Hobbit journeys to a volcano to destroy a powerful ring","The Lord of the Rings: The Fellowship of the Ring"
"The patriarch of a crime dynasty transfers control to his reluctant son","The Godfather"
"Twelve jurors debate the guilt of a young man in a small room","12 Angry Men"
"Lion prince flees home after his father's death only to return as an adult","The Lion King"
"Scientists and children visit a theme park with cloned dinosaurs","Jurassic Park"
"Scientists go behind enemy lines in WWII to find a man whose brothers were killed","Saving Private Ryan"
"Insurance salesman discovers his whole life is a reality TV show","The Truman Show"
"Couple undergoes a procedure to erase each other from their memories","Eternal Sunshine of the Spotless Mind"
"Jazz pianist and aspiring actress fall in love in Los Angeles","La La Land"
"Shy waitress in Paris decides to change the lives of those around her","Amélie"
"Italian-American bouncer drives a Black pianist through the 1960s South","Green Book"
"Man is kidnapped and imprisoned for 15 years without knowing why","Oldboy"
"Teenager travels back to the 1950s in a DeLorean time machine","Back to the Future"
"Superheroes use time travel to undo a galactic genocide","Avengers: Endgame"
"The Bride seeks revenge on her former colleagues who tried to kill her","Kill Bill: Vol. 1"
"Professional hitman protects a 12-year-old girl after her family is murdered","Léon: The Professional"
"Veteran pilot trains a new group of graduates for a dangerous mission","Top Gun: Maverick"
"Troubled teenager is visited by a giant rabbit who tells him the world is ending","Donnie Darko"
"Ballerina descends into madness while preparing for the lead role in Swan Lake","Black Swan"
"Free Black man from New York is kidnapped and sold into slavery","12 Years a Slave"
"True story of the Boston Globe's investigation into the Catholic Church","Spotlight"
"German boy discovers his mother is hiding a Jewish girl in their attic during WWII","Jojo Rabbit"
"Hollywood stunt driver moonlights as a getaway driver Ryan Gosling","Drive"
"Wealthy investment banker hides his bloodlust from his shallow associates","American Psycho"
"Ogre goes on a quest to rescue a princess to get his swamp back","Shrek"
"A rat who can cook makes an alliance with a kitchen worker in Paris","Ratatouille"
"Young girl enters a world of spirits and works in a bathhouse to save parents","Spirited Away"
"Iconic doll enters the real world to find her true purpose","Barbie"
"A group of professional bank robbers pursued by an obsessive detective Al Pacino","Heat"
"Jewish-American soldiers plot to assassinate Nazi leaders in occupied France","Inglourious Basterds"
"Scottish warrior leads a rebellion against the English king Mel Gibson","Braveheart"
"The crew of a spacecraft encounters a deadly extraterrestrial life form","Alien"
"Boy travels to the Land of the Dead to find his musician ancestor","Coco"
"Teenager becomes a web-slinger and meets other versions of himself","Spider-Man: Into the Spider-Verse"
"African king defends his high-tech nation from a dangerous usurper","Black Panther"
"Man travels through the multiverse to find his daughter in different realities","Doctor Strange in the Multiverse of Madness"
"A mute woman falls in love with a high-security lab creature","The Shape of Water"
"Four outsiders in high finance predict the housing bubble collapse","The Big Short"
"A mathematician with schizophrenia wins the Nobel Prize Russell Crowe","A Beautiful Mind"
"Brilliant but rebellious janitor at MIT solves difficult math problems","Good Will Hunting"
"A former hitman tries to settle down but is pulled back for one last job","The Irishman"
"Disturbing story about a nurse who becomes obsessed with her patient","Saint Maud"
"Young woman discovers her family's dark secret at a midsummer festival in Sweden","Midsommar"
"Couple visits an exclusive restaurant on an island where the chef has a dark plan","The Menu"
"The life of a domestic worker for a middle-class family in Mexico City","Roma"
